,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste,lat,lon
38,2442,Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",70,2.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sweet,cocoa,rubbery,,-19.32125,-175.16432
39,2438,Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",70,2.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,unrefined,sweet,metallic,,-19.32125,-175.16432
40,370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",70,3,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,roasty,nutty,coffee,,-2.241343,-78.26517
41,370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",55,2.75,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,sweet,banana cream,,-2.241343,-78.26517
42,316,Ah Cacao,Mexico,2009,Mexico,Tabasco,70,3,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,gritty,spice,cocoa,,-19.33,-98.58354
43,502,Akesson's (Pralus),Switzerland,2010,Madagascar,"Madagascar, Ambolikapiky P.",75,2.75,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,strong pepper,musty,,,-37.48,-122.25
44,508,Akesson's (Pralus),Switzerland,2010,Brazil,"Monte Alegre, D. Badero",75,2.75,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,fatty,intense,woody,,-37.48,-122.25
45,636,Akesson's (Pralus),Switzerland,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",75,3.75,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,hay,nut,berry,,-37.48,-122.25
46,1061,Alain Ducasse,France,2013,Venezuela,Chuao,75,2.5,5,have_bean,have_cocoa_butter,have_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,dirt,ashey,,50.23312,3.17217
47,1173,Alain Ducasse,France,2013,Peru,"Piura, Perou",75,2.5,5,have_bean,have_cocoa_butter,have_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,cardboard,dirt,roasty,,50.23312,3.17217
